gene,transmissibility,n_amplified_cases,gnomad_LOEUF,gnomad_pLI,gnomad_mis_z,dep_mean_effect,dep_frac_dependent,in_complex,n_complexes,complex_size,has_complex,length,mol_weight,isoelectric_point,gravy,aggregation_propensity,tm_domain_count,signal_peptide,vsl2_disorder,psipred_helix,psipred_strand,psipred_coil,asaquick_buried,transcript_length,gc_content,n_isoforms,utr5_length,utr3_length,codon_optimality,dn_ds,phylop_mean,gene_age_proxy,is_tf,is_kinase,is_receptor,is_enzyme,go_mf_category,n_tissues_expressed,tau,degree,weighted_degree,betweenness
HSPE1,0.45454545454545453,99,0.556,0.80379,1.4504,-3.678610771074221,1.0,False,0,,0,102,10932,8.89065761566162,-0.0411764705882352,2.1571428571428575,0,False,0.078,0.157,0.353,0.49,0.186,557.0,41.7476,39.0,58.0,190.0,26.2136,,,6.0,False,False,False,False,binding,54.0,0.7163094573907886,41,34.19199999999999,0.0004468827682621
HSPG2,0.016129032258064516,62,0.412,1.0376000000000001e-19,1.1367,-0.0320168753589718,0.0,True,1,1.0,1,4391,468830,6.055080604553221,-0.2943520838077886,3.5142857142857147,0,True,0.163,0.113,0.296,0.591,1.0,14341.0,64.5871,18.0,93.0,1072.0,76.7304,0.112206,,5.0,False,False,False,False,structural_molecule_activity,48.0,0.7986797686566335,43,37.035999999999994,0.0006203950561458
HSPH1,0.6981132075471698,53,0.264,0.99822,1.7199,-0.0290761058122936,0.0033112582781456,True,1,1.0,1,858,96865,5.275533866882324,-0.5715617715617716,2.614285714285714,0,False,0.235,0.431,0.14,0.429,0.354,5244.0,40.8615,26.0,322.0,2345.0,36.5541,0.036054,,6.0,False,False,False,False,binding,54.0,0.6695115147905498,35,29.947,1.6790055193781413e-05
HTATIP2,0.8387096774193549,62,1.903,5.3767e-13,0.54666,0.0084769065539468,0.0041390728476821,False,0,,0,242,27049,8.575020408630369,-0.3371900826446281,2.671428571428574,0,False,0.029,0.405,0.174,0.421,0.314,1830.0,47.8738,13.0,524.0,577.0,49.3827,0.114956,,5.0,False,False,False,False,other_molecular_function,54.0,0.4883377282525611,23,18.313999999999997,4.211067339701412e-05
HTRA1,0.359375,64,0.752,0.00049201,1.0545,-0.0188752642543248,0.0024834437086092,False,0,,0,480,51287,8.086672401428224,-0.1214583333333333,3.514285714285715,0,True,0.183,0.25,0.256,0.494,0.427,2091.0,60.1525,10.0,100.0,548.0,72.973,0.056549,,4.0,False,False,False,True,catalytic_activity,53.0,0.7655134847688647,5,3.858,6.383775302485279e-05
HTRA2,0.2033898305084746,118,0.756,0.0035755,1.7043,-0.1459654892394504,0.0786423841059602,True,1,2.0,1,458,48841,10.070622444152832,-0.0556768558951965,2.9714285714285715,1,False,0.127,0.236,0.284,0.48,0.389,1785.0,59.9855,28.0,74.0,334.0,60.1307,0.250483,,5.0,False,False,False,True,catalytic_activity,54.0,0.5639423849799152,20,16.631,0.0009912691543479
HTT,0.30357142857142855,56,0.176,1.0,2.7799,-0.1314242150998039,0.0695364238410596,True,1,3.0,1,3142,347603,5.808001518249512,-0.0663590070019096,3.528571428571435,0,False,0.176,0.584,0.039,0.377,0.918,13472.0,52.5612,24.0,145.0,3898.0,59.1155,0.073558,,5.0,False,False,False,False,binding,54.0,0.7301500479660475,97,83.00900000000006,0.0062553794194381
HUS1,0.6923076923076923,221,1.123,3.0073e-05,-0.4147,-0.5063905724037094,0.4950331125827814,True,1,2.0,1,280,31691,6.369229698181152,-0.0942857142857142,1.8571428571428572,0,False,0.004,0.361,0.254,0.385,0.339,3007.0,43.0605,24.0,96.0,2068.0,50.5338,0.104697,,5.0,False,False,False,False,,54.0,0.4750696353310344,23,19.99300000000001,8.822453717051112e-05
HVCN1,0.09803921568627451,102,0.535,0.62735,1.3372,-0.0850397417754171,0.0,False,0,,0,273,31683,6.327623558044434,0.1124542124542123,4.028571428571429,4,False,0.147,0.659,0.029,0.312,0.322,1685.0,52.1898,44.0,139.0,724.0,69.3431,0.102181,,4.0,False,False,False,False,transporter_activity,52.0,0.9354175308643986,0,0.0,0.0
HYI,0.023529411764705882,85,1.74,2.2375e-14,-0.90538,-0.2020207014543114,0.0289735099337748,False,0,,0,277,30406,5.361417579650879,-0.2191335740072202,2.1714285714285713,0,False,0.029,0.394,0.181,0.425,0.354,1221.0,63.0695,38.0,138.0,249.0,72.3022,,,4.0,False,False,False,True,catalytic_activity,,,0,0.0,0.0
HYOU1,0.7571428571428571,70,0.331,0.86105,1.8014,-1.171244666437431,0.9776490066225164,False,0,,0,999,111335,5.158047676086424,-0.5464464464464465,3.3428571428571425,0,True,0.298,0.456,0.123,0.421,0.348,4367.0,55.4779,23.0,82.0,1282.0,64.8352,,,0.0,False,False,False,False,binding,54.0,0.6914313502559836,35,29.94,0.0002010271468783
HYPK,0.39215686274509803,51,1.207,0.036644,0.74249,-0.8893490231523169,0.9271523178807948,True,1,1.0,1,121,13651,4.794846534729005,-0.9041322314049586,2.3999999999999995,0,False,0.744,0.589,0.07,0.341,0.047,3011.0,55.1913,16.0,24.0,2621.0,63.9344,0.003714,,5.0,False,False,False,False,other_molecular_function,51.0,0.7562025214814649,4,3.93,0.0001173702518653
IAH1,0.13392857142857142,112,0.914,0.0034427,0.29248,0.0747319593927337,0.0,False,0,,0,248,27599,5.128889274597167,-0.0346774193548387,2.8000000000000003,0,False,0.012,0.528,0.073,0.399,0.323,2176.0,49.3976,35.0,16.0,1413.0,53.4137,0.140089,,5.0,False,False,False,True,catalytic_activity,54.0,0.6513458998201094,9,7.244999999999999,1.7404724950584425e-06
IARS,0.7966101694915254,59,0.768,1.7339e-21,1.1328,,,False,0,,0,1262,144498,5.820108222961426,-0.2384310618066561,2.642857142857151,0,False,,,,,,4483.0,44.3389,93.0,94.0,600.0,45.2098,0.062425,,6.0,False,False,False,True,catalytic_activity,54.0,0.7931887668564732,42,38.40899999999999,9.98060727570504e-05
IARS2,0.2786885245901639,183,0.385,0.081336,1.1731,-0.7734211561885467,0.8485099337748344,False,0,,0,1012,113792,6.783131217956543,-0.3030632411067193,2.2142857142857224,0,False,0.036,0.413,0.169,0.418,0.416,3530.0,44.3567,27.0,85.0,406.0,40.2764,0.091001,,6.0,False,False,False,True,catalytic_activity,54.0,0.6009956943326215,37,33.452,0.0001015172519518
IBA57,0.08241758241758242,182,0.957,0.0083921,-0.57238,-0.2775683925340798,0.1862582781456953,False,0,,0,356,38155,9.879796028137209,-0.0592696629213483,2.542857142857143,0,False,0.059,0.236,0.25,0.514,0.385,7828.0,68.6275,5.0,13.0,6744.0,80.3922,0.26193,,6.0,False,False,False,False,binding,54.0,0.746093795201129,21,17.31,0.0002107521947566
IBTK,0.2982456140350877,57,0.413,0.0022144,2.2762,0.0235575981647377,0.0,False,0,,0,1353,150528,7.794566154479981,-0.3076866223207686,3.228571428571424,0,False,0.169,0.362,0.166,0.472,0.443,6040.0,39.291,10.0,540.0,1438.0,30.5761,,,0.0,False,False,False,False,molecular_function_regulator,54.0,0.5911482634819919,2,1.698,1.3235433293356985e-06
ICA1,0.2077922077922078,231,0.577,0.00099069,0.49213,-0.0068133752804099,0.0008278145695364,False,0,,0,483,54645,5.553590202331542,-0.6312629399585921,2.200000000000005,0,False,0.286,0.631,0.023,0.346,0.329,2344.0,45.73,78.0,153.0,739.0,46.6942,0.087263,,5.0,False,False,False,False,binding,53.0,0.7877129487877581,4,3.391,3.1095103720495415e-05
ICAM1,0.36904761904761907,84,0.618,0.035295,0.019009,0.0518345639080884,0.0008278145695364,True,1,2.0,1,532,57825,8.309281730651858,-0.2714285714285714,3.6285714285714294,1,True,0.053,0.113,0.363,0.524,0.308,2967.0,60.7255,11.0,40.0,1328.0,72.045,0.388793,,1.0,False,False,True,False,molecular_transducer_activity,53.0,0.920711598961242,77,65.22599999999998,0.0011269294822263
ICAM2,0.04918032786885246,122,1.253,0.00075003,0.40568,0.072648140439487,0.0,False,0,,0,275,30654,7.094779396057128,-0.0156363636363636,3.585714285714286,1,True,0.022,0.269,0.305,0.426,0.309,1135.0,57.6087,29.0,155.0,152.0,77.1739,0.357111,,1.0,False,False,False,False,binding,54.0,0.8352420618730346,14,12.859000000000002,3.5645140860501016e-06
ICAM3,0.3333333333333333,84,1.92,2.7302e-25,0.30068,-0.0537613248960163,0.0049668874172185,False,0,,0,547,59541,5.31304759979248,-0.0575868372943327,3.542857142857143,1,True,0.031,0.144,0.36,0.496,0.367,1735.0,61.618,19.0,10.0,81.0,74.8175,,,2.0,False,False,False,False,binding,26.0,0.9780890527814772,8,7.2349999999999985,9.15811020671606e-07
IDE,0.8166666666666667,60,0.414,0.0066309,2.0777,-0.1290050275232408,0.0074503311258278,False,0,,0,1019,117968,6.16296100616455,-0.4040235525024533,3.171428571428574,0,False,0.0,0.467,0.118,0.415,0.425,5894.0,41.9608,51.0,74.0,2760.0,41.0784,0.035822,,6.0,False,False,True,True,catalytic_activity,54.0,0.8065567698550323,10,8.51,5.235628050085012e-05
IDH1,0.26666666666666666,90,1.327,2.6244e-12,0.60434,-0.0954152418103872,0.0074503311258278,True,1,1.0,1,414,46659,6.5327554702758786,-0.3917874396135266,2.1571428571428584,0,False,0.024,0.425,0.188,0.387,0.396,2318.0,44.498,47.0,223.0,850.0,47.7108,0.048928,,6.0,False,False,False,True,catalytic_activity,54.0,0.8687482146580899,63,52.635000000000005,0.0022539555262615
IDH2,0.18055555555555555,72,0.384,0.88271,1.3418,-0.0195574821404993,0.0016556291390728,True,1,1.0,1,452,50909,8.882921409606933,-0.3973451327433627,2.3428571428571456,0,False,0.011,0.396,0.155,0.449,0.387,2658.0,58.2046,31.0,78.0,1221.0,79.0287,0.043226,,5.0,False,False,False,True,catalytic_activity,54.0,0.82567811169826,60,50.80099999999998,0.0013726089833794
IDH3A,0.22580645161290322,62,0.55,0.15704,2.5852,-0.4735702555168647,0.3824503311258278,True,1,2.0,1,366,39592,6.4646623611450185,-0.0562841530054644,2.6428571428571432,0,False,0.033,0.41,0.134,0.456,0.415,4083.0,47.139,54.0,42.0,2940.0,46.594,0.017471,,6.0,False,False,False,True,catalytic_activity,54.0,0.6437268157697736,40,34.226000000000006,0.000136116799999
IDH3B,0.19402985074626866,134,1.264,2.9929e-11,0.41922,0.0347147783219604,0.0041390728476821,True,1,2.0,1,385,42184,8.636265373229982,-0.1015584415584416,2.1714285714285713,0,False,0.034,0.517,0.13,0.353,0.358,1542.0,54.9223,48.0,28.0,356.0,67.0984,0.065547,,6.0,False,False,False,False,binding,54.0,0.4533239282146786,41,34.766999999999996,0.0003112466057392
IDI1,0.6103896103896104,77,1.077,3.9769e-05,0.64017,-0.0585887397096782,0.0198675496688741,False,0,,0,227,26319,5.932365226745605,-0.4546255506607929,2.642857142857141,0,False,0.031,0.476,0.145,0.379,0.273,2739.0,44.3275,10.0,116.0,1768.0,42.807,0.07421,,6.0,False,False,False,True,catalytic_activity,54.0,0.6681218161076106,19,16.787999999999997,0.0007249068434206
IDNK,0.05,60,0.681,0.39322,0.36767,0.0081942859877498,0.0008278145695364,False,0,,0,187,20578,5.840854454040527,-0.1737967914438502,2.7571428571428567,0,False,0.021,0.46,0.171,0.369,0.283,936.0,49.6454,25.0,29.0,343.0,52.6596,0.202385,,4.0,False,True,False,True,catalytic_activity,54.0,0.7122543315261983,6,5.4079999999999995,3.5479524885084647e-06
IDO1,0.2413793103448276,116,1.078,3.3013e-06,-0.40342,0.0842306204710262,0.0,False,0,,0,403,45326,6.8653772354125975,-0.2032258064516129,3.114285714285714,0,False,0.112,0.561,0.074,0.365,0.367,1849.0,46.2046,10.0,32.0,605.0,47.2772,0.368283,,1.0,False,False,False,True,catalytic_activity,9.0,0.9570226385300982,13,10.778,0.0003222480016544
IDUA,0.2711864406779661,59,1.166,3.7599e-13,-0.59776,0.0011768892740294,0.0041390728476821,False,0,,0,653,72670,9.24632968902588,-0.2540581929555895,2.942857142857143,0,True,0.096,0.296,0.185,0.519,0.397,2174.0,68.6544,24.0,41.0,171.0,88.9908,0.145011,,5.0,False,False,False,True,catalytic_activity,54.0,0.741607151766331,6,5.0,0.0001614817408504
IFI16,0.7614213197969543,197,1.031,1.7803e-11,0.56563,0.059778402474427,0.0,True,1,1.0,1,785,88256,9.313247871398923,-0.6109554140127389,2.3142857142857087,0,False,0.434,0.269,0.201,0.53,0.306,2883.0,42.0271,33.0,275.0,250.0,42.8753,,,1.0,False,False,False,False,binding,54.0,0.7969081930212875,19,15.446,3.945857574314505e-05
IFI30,0.14285714285714285,91,1.513,2.9645e-08,0.62967,-0.0744823656150507,0.0016556291390728,False,0,,0,250,27964,4.79416446685791,0.0551999999999999,2.8857142857142857,0,True,0.052,0.46,0.112,0.428,0.3,988.0,56.9721,10.0,29.0,206.0,72.1116,0.203803,,4.0,False,False,False,True,catalytic_activity,54.0,0.9365861084982328,1,0.731,0.0
IFI35,0.6415094339622641,106,1.359,4.2821e-07,-0.24518,-0.0942784662746272,0.0049668874172185,True,1,2.0,1,286,31546,5.750480461120605,-0.1776223776223776,2.3142857142857145,0,False,0.056,0.276,0.283,0.441,0.262,1182.0,59.3496,9.0,164.0,157.0,72.8223,0.273731,,4.0,False,False,False,False,binding,54.0,0.8060514731471438,150,132.919,0.0016372876540623
IFIH1,0.6346153846153846,104,1.548,6.981899999999999e-44,-0.78852,0.0056857351319594,0.0,False,0,,0,1025,116689,5.384096336364746,-0.4830243902439025,2.500000000000004,0,False,0.167,0.529,0.106,0.365,0.388,3581.0,41.2281,9.0,377.0,126.0,40.2534,0.13731,,5.0,False,False,False,True,catalytic_activity,53.0,0.9261496109158032,70,60.287,0.0017262746131141
IFIT1,0.3559322033898305,59,1.528,0.00027793,0.33452,0.0161309320464807,0.0024834437086092,True,1,3.0,1,478,55360,6.754257011413575,-0.5807531380753138,2.5714285714285756,0,False,0.017,0.655,0.077,0.268,0.408,4302.0,42.7279,6.0,90.0,2775.0,45.3027,,,3.0,False,False,False,False,molecular_function_regulator,54.0,0.6949123778202579,41,36.076,9.390609299862566e-05
IFIT2,0.22033898305084745,59,0.835,0.25099,0.5218,-0.0073593018858041,0.0,True,1,3.0,1,472,54632,6.3231901168823255,-0.6877118644067797,2.4714285714285773,0,False,0.212,0.621,0.081,0.298,0.373,3393.0,44.8203,16.0,78.0,1896.0,47.3573,0.370986,,4.0,False,False,False,False,binding,53.0,0.8190096893169883,36,30.78900000000001,0.0002211606177627
IFIT3,0.4406779661016949,59,1.184,0.11732,0.7974,0.0483934078963293,0.0041390728476821,True,1,3.0,1,490,55985,5.124626350402831,-0.7353061224489796,2.214285714285708,0,False,0.131,0.61,0.063,0.327,0.361,2390.0,43.924,17.0,77.0,840.0,45.8248,,,4.0,False,False,False,False,binding,54.0,0.918022733735108,42,36.464000000000006,0.0001892323029245
IFIT5,0.2711864406779661,59,0.915,0.00011794,0.35347,-0.0023567565173702,0.0016556291390728,False,0,,0,482,55847,6.996675300598144,-0.5535269709543568,2.4285714285714266,0,False,0.008,0.637,0.083,0.28,0.388,4029.0,42.305,8.0,231.0,2349.0,43.0642,,,3.0,False,False,False,False,binding,54.0,0.5919845150849785,22,18.124,1.833115598784347e-06
IFITM3,0.24489795918367346,49,1.839,0.030466,-0.54078,-1.0899633656744412,0.9596330275229358,False,0,,0,133,14632,6.486147499084471,0.381203007518797,3.5142857142857147,1,False,0.023,0.526,0.105,0.369,0.09,611.0,59.204,35.0,47.0,162.0,84.3284,,,1.0,False,False,False,False,,54.0,0.6873306010936618,20,16.292,0.0001093089021453
IFNGR1,0.13725490196078433,51,0.7,0.015503,0.30532,0.0946063900069475,0.0016556291390728,True,1,1.0,1,489,54405,4.826846885681152,-0.2390593047034765,3.714285714285715,1,True,0.237,0.172,0.292,0.536,0.344,2074.0,40.8844,28.0,58.0,546.0,36.5306,0.4307,,3.0,False,False,True,False,molecular_transducer_activity,54.0,0.7223714369343002,14,12.742,2.677987801695511e-06
IFT122,0.015873015873015872,126,0.858,2.3816000000000002e-24,0.34618,-0.0499672465922908,0.0033112582781456,True,1,5.0,1,1241,141825,6.076111030578613,-0.3269943593875907,3.528571428571435,0,False,0.033,0.413,0.196,0.391,0.497,4075.0,52.6838,158.0,107.0,242.0,67.7134,0.063834,,4.0,False,False,False,False,,54.0,0.8897363788951184,30,26.113,0.0001204119585276
IFT140,0.050505050505050504,99,0.818,9.914e-24,-0.81057,-0.1304196346092387,0.0082781456953642,True,1,5.0,1,1462,165193,5.693982505798339,-0.3342681258549932,3.1714285714285717,0,False,0.036,0.439,0.191,0.37,0.522,5232.0,59.4213,23.0,326.0,517.0,78.1271,0.138872,,5.0,False,False,False,False,,53.0,0.7801623569313848,25,22.369999999999997,2.481479329248377e-05
IFT172,0.025423728813559324,118,0.755,3.2682e-33,1.1855,-0.0246378523814177,0.0016556291390728,False,0,,0,1749,197576,5.779979896545409,-0.3353344768439108,3.02857142857143,0,False,0.005,0.496,0.184,0.32,0.63,5395.0,51.2952,44.0,90.0,55.0,56.9714,0.035782,,5.0,False,False,False,False,,53.0,0.7434304328149592,25,23.368,1.3440855750380388e-05
IFT20,0.22330097087378642,103,0.854,0.10302,0.1154,0.0879998860557037,0.0,True,1,3.0,1,132,15281,5.070060920715331,-0.5037878787878788,1.8142857142857147,0,False,0.136,0.841,0.008,0.151,0.083,860.0,41.3534,29.0,135.0,326.0,41.3534,0.013794,,5.0,False,False,False,False,binding,54.0,0.587722603504649,28,25.575999999999993,0.0001452002749405
IFT22,0.17289719626168223,214,,,,0.0148272412295005,0.0041390728476821,True,1,7.0,1,185,20835,5.0298189163208,-0.3702702702702704,2.6,0,False,0.319,0.297,0.211,0.492,0.238,4881.0,48.7455,19.0,103.0,4220.0,61.2903,0.084646,,4.0,False,False,False,False,binding,53.0,0.8414143973271125,19,18.237,0.0
IFT27,0.6491228070175439,57,1.411,5.8825e-06,0.21643,0.0675473178713984,0.0,True,1,7.0,1,186,20480,5.278091621398924,-0.0629032258064516,2.042857142857143,0,False,0.0,0.495,0.183,0.322,0.29,1073.0,54.1889,30.0,412.0,100.0,62.5668,0.14699,,4.0,False,False,False,False,binding,54.0,0.7116468920595913,23,21.76,7.890022234243144e-06
IFT46,0.1095890410958904,73,0.544,0.16822,0.67346,0.0592801532149073,0.0008278145695364,True,1,7.0,1,304,34286,4.372134971618652,-0.7332236842105264,2.585714285714289,0,False,0.28,0.418,0.066,0.516,0.283,1562.0,46.6667,14.0,274.0,373.0,50.4918,0.028039,,5.0,False,False,False,False,,54.0,0.5357070825920512,20,19.221,2.0059176725276633e-06
IFT52,0.10666666666666667,150,0.866,2.0125e-06,1.444,0.0556898053072167,0.0008278145695364,True,1,7.0,1,437,49706,5.137074089050292,-0.3562929061784897,2.128571428571429,0,False,0.08,0.432,0.13,0.438,0.357,1754.0,44.6728,40.0,124.0,316.0,48.6301,0.087716,,4.0,False,False,False,False,,54.0,0.591099037115814,25,23.134000000000004,3.7485871944532125e-05
IFT57,0.08181818181818182,110,1.096,3.3347e-10,0.30188,-0.0996280512012424,0.0206953642384105,True,1,3.0,1,429,49108,4.929043388366698,-0.6158508158508159,2.4142857142857146,0,False,0.145,0.548,0.117,0.335,0.319,3057.0,44.6512,29.0,102.0,1665.0,45.3488,0.0745,,5.0,False,False,False,False,binding,54.0,0.8714942001624957,24,22.717999999999996,0.0003455994924386
IFT74,0.24,50,0.88,5.7205e-13,-1.0698,0.0758311662891017,0.0016556291390728,True,1,7.0,1,600,69239,5.732007789611817,-0.9109999999999998,2.342857142857148,0,False,0.578,0.732,0.03,0.238,0.267,5325.0,37.8258,21.0,124.0,3398.0,35.1082,0.111775,,4.0,False,False,False,False,binding,53.0,0.8084914087387796,23,21.711,9.717588374391692e-05
IFT80,0.2085889570552147,163,0.991,1.4059000000000002e-19,1.5119,-0.1021019763999209,0.0041390728476821,False,0,,0,777,88035,7.587061882019045,-0.2158301158301158,2.6000000000000005,0,False,0.033,0.272,0.32,0.408,0.457,3999.0,38.0891,35.0,126.0,1539.0,29.3059,0.039414,,5.0,False,False,False,False,,53.0,0.6717993391448138,23,21.875,8.86875156853152e-05
IFT81,0.12,100,0.797,9.0878e-12,0.82819,-0.0026257272927105,0.0016556291390728,True,1,7.0,1,676,79746,8.902777671813965,-0.885355029585799,2.6428571428571432,0,False,0.462,0.796,0.01,0.194,0.277,3124.0,37.6169,37.0,526.0,567.0,32.7917,0.043272,,4.0,False,False,False,False,binding,53.0,0.7004050325717288,20,19.165,1.4638389450391816e-06
IFT88,0.12727272727272726,55,0.708,7.1224e-11,0.33508,0.0019499110740854,0.0,True,1,7.0,1,824,93192,5.970902061462403,-0.5415048543689319,2.3142857142857127,0,False,0.211,0.57,0.048,0.382,0.394,2850.0,38.7475,66.0,106.0,269.0,30.0606,0.071003,,4.0,False,False,False,False,binding,53.0,0.8679794030273984,39,34.55899999999998,0.0011250324917661
IGF1R,0.5526315789473685,76,0.306,0.96799,2.7286,-0.2616386222853589,0.1903973509933774,True,1,1.0,1,1367,154793,5.579281425476074,-0.4008046817849305,3.7857142857142856,1,True,0.135,0.292,0.211,0.497,0.462,12235.0,55.0926,17.0,1043.0,7088.0,72.3684,0.035945,,4.0,False,True,True,True,catalytic_activity,52.0,0.6508616705666934,79,69.37900000000002,0.0010645165945886
IGF2,0.08695652173913043,46,1.131,0.044127,0.93148,-0.0653961514031922,0.009933774834437,True,1,2.0,1,180,20140,9.497691917419434,-0.2749999999999999,3.071428571428572,0,True,0.2,0.522,0.028,0.45,0.217,5580.0,65.0092,50.0,1167.0,3870.0,80.663,0.221029,,4.0,False,False,False,False,molecular_function_regulator,52.0,0.7819864659594227,36,31.394,0.0005570658728816
IGF2BP2,0.4444444444444444,171,0.428,0.23861,2.9072,-0.2686245219433157,0.0463576158940397,False,0,,0,599,66121,8.482572746276855,-0.4035058430717862,2.4285714285714266,0,False,0.105,0.359,0.195,0.446,0.387,4283.0,53.0,43.0,82.0,2401.0,62.3333,0.050003,,4.0,False,False,False,False,molecular_function_regulator,42.0,0.9453135746359352,24,19.705,0.0001967129415373
IGF2BP3,0.7467248908296943,229,0.095,0.99999,2.1157,-0.1371150260718062,0.015728476821192,False,0,,0,579,63705,8.987037849426269,-0.4274611398963731,2.5142857142857133,0,False,0.126,0.351,0.202,0.447,0.352,4274.0,47.2414,30.0,381.0,2153.0,46.5517,0.040079,,5.0,False,False,False,False,molecular_function_regulator,4.0,0.9790666477603088,22,17.733000000000004,3.574095543331582e-05
IGF2R,0.6739130434782609,46,0.212,1.0,2.0655,0.1006900098305652,0.0,True,1,2.0,1,2491,274375,5.638507652282715,-0.3701726214371738,3.3285714285713897,1,True,0.07,0.162,0.291,0.547,0.839,14061.0,52.3007,19.0,165.0,6420.0,60.313,0.113327,,5.0,False,False,True,False,molecular_transducer_activity,54.0,0.7347211465427779,27,22.914,0.0004941645151144
IGFALS,0.0297029702970297,101,1.842,5.4379e-11,-1.2214,-0.0700679304258257,0.009933774834437,True,1,2.0,1,605,66035,6.328987693786622,0.0188429752066115,3.2285714285714286,0,True,0.021,0.484,0.098,0.418,0.473,2058.0,68.8669,7.0,53.0,187.0,90.429,0.194342,,4.0,False,False,False,False,molecular_transducer_activity,18.0,0.9840928976542556,5,4.578,4.8617103613640014e-08
IGFBP2,0.3048780487804878,82,0.816,0.11898,1.71,0.1151844940436605,0.0,True,1,2.0,1,325,34814,7.479522514343262,-0.4396923076923077,3.2000000000000006,0,True,0.56,0.292,0.098,0.61,0.283,1414.0,69.5297,15.0,104.0,332.0,85.5828,0.155218,,4.0,False,False,False,False,molecular_function_regulator,54.0,0.9298843253764038,8,6.655,2.765651168638202e-05
IGFBP3,0.6380090497737556,221,0.385,0.91029,0.78715,-0.1078792303545451,0.0091059602649006,True,1,2.0,1,291,31674,9.028168678283691,-0.5350515463917526,3.2142857142857144,0,True,0.529,0.241,0.12,0.639,0.296,2613.0,64.1553,15.0,132.0,1605.0,77.3973,0.216383,,3.0,False,False,False,False,molecular_function_regulator,52.0,0.7445707040447429,18,15.553,0.0001366077017561
IGFBP4,0.25663716814159293,113,0.98,0.023057,0.85353,-0.0644560523332551,0.0057947019867549,False,0,,0,258,27934,6.808538246154785,-0.4930232558139535,3.2857142857142856,0,True,0.426,0.357,0.074,0.569,0.298,2205.0,68.7259,13.0,286.0,1142.0,86.8726,0.109698,,3.0,False,False,False,False,binding,54.0,0.7823817900756596,1,0.993,0.0
IGFBP5,0.3493975903614458,83,0.292,0.96283,1.6325,-0.0010607696756481,0.0016556291390728,True,1,1.0,1,272,30570,8.581789588928224,-0.6227941176470589,3.2857142857142856,0,True,0.474,0.335,0.092,0.573,0.254,6239.0,63.8584,7.0,774.0,4646.0,84.6154,0.051403,,4.0,False,False,False,False,binding,52.0,0.8607967765201935,10,8.512,1.3992157657047306e-05
IGFBP6,0.10714285714285714,112,0.921,0.02915,0.23065,-0.1311562239404738,0.0024834437086092,False,0,,0,240,25322,8.147272682189943,-0.6887500000000001,3.5142857142857147,0,True,0.754,0.233,0.058,0.709,0.229,947.0,66.1134,9.0,51.0,173.0,69.2946,0.251855,,2.0,False,False,False,False,binding,52.0,0.8825687232463075,6,4.839,1.653992022907784e-06
IGFBP7,0.19480519480519481,77,1.118,0.0012873,0.31377,-0.108894238412709,0.0082781456953642,False,0,,0,282,29130,8.248552513122558,-0.225177304964539,3.2,0,True,0.521,0.199,0.181,0.62,0.284,1427.0,64.0754,22.0,34.0,544.0,71.7314,0.178939,,3.0,False,False,False,False,binding,54.0,0.9036824702701204,11,8.7,3.335901524174375e-05
IGHMBP2,0.48672566371681414,113,0.953,3.0212e-16,0.17632,-0.1443117651734996,0.0231788079470198,False,0,,0,993,109149,9.13215618133545,-0.4478348439073514,2.9285714285714284,0,False,0.263,0.454,0.113,0.433,0.34,3914.0,58.9873,63.0,62.0,870.0,69.5171,0.158674,,5.0,False,False,False,True,catalytic_activity,54.0,0.7042292821029597,5,3.751,1.1298918625123644e-05
IGLL1,0.0945945945945946,74,1.643,0.013899,-0.29761,-0.0866369530885489,0.0091059602649006,True,1,1.0,1,213,22963,10.097054481506348,-0.4338028169014085,3.028571428571429,0,True,0.3,0.244,0.216,0.54,0.155,883.0,63.8629,3.0,100.0,141.0,77.1028,,,1.0,False,False,False,False,binding,1.0,0.99762337459022,5,3.977,0.0004020761161855
IGLL5,0.08571428571428572,70,1.968,5.1865e-10,-6.4373,-0.0749052822463712,0.0074503311258278,False,0,,0,214,23063,9.080710411071776,-0.4037383177570093,2.914285714285715,0,True,0.477,0.243,0.22,0.537,0.201,1300.0,62.6357,4.0,238.0,417.0,73.0233,,,1.0,False,False,False,False,binding,,,23,20.726000000000003,0.000713097940623
IGSF8,0.12935323383084577,201,1.052,4.6329e-11,0.43854,-0.0281208449283733,0.009933774834437,False,0,,0,613,65034,8.230436897277833,-0.0752039151712887,3.528571428571429,1,True,0.07,0.209,0.297,0.494,0.396,2270.0,64.278,38.0,147.0,281.0,66.7752,0.122006,,3.0,False,False,True,False,molecular_transducer_activity,54.0,0.7707851348920809,3,2.879,0.0
IK,0.5862068965517241,116,0.607,2.4864e-06,3.5044,-1.559739873785041,0.9991721854304636,False,0,,0,557,65602,6.262940788269043,-1.4265709156193895,1.728571428571436,0,False,0.603,0.512,0.027,0.461,0.241,1905.0,48.8053,11.0,80.0,151.0,53.9427,,,4.0,False,False,False,False,binding,54.0,0.5704808824196941,67,61.47099999999998,0.0004044295251981
IKBIP,0.87,100,1.389,7.6128e-08,0.20016,-0.0223872076344917,0.0024834437086092,False,0,,0,350,39309,9.211774635314942,-0.5034285714285714,2.2999999999999994,1,False,0.2,0.749,0.029,0.222,0.309,2902.0,41.358,6.0,87.0,1681.0,42.0635,0.540487,,4.0,False,False,False,False,,49.0,0.9298665378262054,2,1.778,0.0
